ccn,first_year,last_year,n_years,any_merger,treated,fac_name,unaccounted_disappearance,likely_missed_merger,disappearance_year
330213,2011,2014,4,0,0,LEWIS COUNTY GENERAL HOSPITAL,1,1,2015
330225,2011,2013,3,0,0,LONG BEACH MEDICAL CENTER,1,1,2014
330232,2011,2018,8,1,1,SETON HEALTH SYSTEM-ST MARY'S CAMPUS,0,0,2019
330249,2011,2014,4,0,0,"COMMUNITY MEMORIAL HOSPITAL, INC",1,1,2015
330263,2011,2014,4,0,0,"CARTHAGE AREA HOSPITAL, INC",1,1,2015
330268,2011,2018,8,0,0,COBLESKILL REGIONAL HOSPITAL,1,1,2019
330306,2011,2015,5,0,0,LUTHERAN MEDICAL CENTER,1,1,2016
330316,2011,2013,3,0,0,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,1,1,2014
330340,2011,2017,7,0,0,SOUTHAMPTON HOSPITAL,1,1,2018
330353,2011,2015,5,0,0,FOREST HILLS HOSPITAL,1,1,2016
330372,2011,2015,5,0,0,FRANKLIN HOSPITAL,1,1,2016
330404,2011,2015,5,0,0,WINIFRED MASTERSON BURKE REHABILITATION HOSPITAL,1,1,2016
330408,2011,2017,7,0,0,,1,1,2018
331306,2011,2018,7,0,0,MOSES-LUDINGTON HOSPITAL,1,1,2019
332014,2011,2015,5,0,0,,1,1,2016
332016,2012,2015,4,0,0,,1,1,2016
334055,2011,2013,3,0,0,,1,1,2014
334059,2011,2013,3,0,0,,1,1,2014
340011,2011,2015,5,0,0,SPRUCE PINE COMMUNITY HOSPITAL,1,1,2016
340036,2011,2015,5,0,0,FRANKLIN REGIONAL MEDICAL CENTER,1,1,2016
340106,2011,2017,7,0,1,SANDHILLS REGIONAL MEDICAL CENTER,0,0,2018
340153,2011,2014,4,0,0,PRESBYTERIAN-ORTHOPAEDIC HOSPITAL,1,1,2015
340160,2011,2014,4,1,1,MURPHY MEDICAL CENTER INC,0,0,2015
341302,2011,2018,8,0,0,OUR COMMUNITY HOSPITAL,1,1,2019
341308,2011,2015,5,0,0,YADKIN VALLEY COMMUNITY HOSPITAL,1,1,2016
341310,2011,2014,4,1,1,PUNGO DISTRICT HOSPITAL,0,0,2015
341313,2011,2013,3,0,0,DAVIE COUNTY HOSPITAL,1,1,2014
341321,2011,2013,3,1,1,BLOWING ROCK HOSPITAL,0,0,2014
342014,2011,2018,8,0,0,,1,1,2019
342016,2011,2016,6,0,0,,1,1,2017
342019,2011,2018,8,0,0,,1,1,2019
344001,2011,2016,6,0,0,,1,1,2017
344031,2016,2018,3,0,0,,1,1,2019
360019,2011,2015,5,0,0,SUMMA HEALTH SYSTEM BARBERTON HOSPITAL,1,1,2016
360052,2011,2018,8,0,1,GOOD SAMARITAN HOSPITAL,0,0,2019
360074,2011,2018,8,0,0,FLOWER HOSPITAL,1,1,2019
360113,2011,2013,3,0,0,MERCY FRANCISCAN HOSPITAL WESTERN HILLS,1,1,2014
360116,2011,2013,3,1,1,BROWN COUNTY REGIONAL HEALTHCARE,0,0,2014
360141,2011,2018,8,0,1,NORTHSIDE MEDICAL CENTER,0,0,2019
360151,2011,2017,7,0,0,AFFINITY MEDICAL CENTER,1,1,2018
360153,2011,2018,8,0,0,BELMONT COMMUNITY HOSPITAL,1,1,2019
360195,2011,2014,4,0,0,SUMMA WADSWORTH-RITTMAN HOSPITAL,1,1,2015
360212,2011,2016,6,0,0,LAKEWOOD HOSPITAL,1,1,2017
360274,2011,2018,8,0,0,MEDICAL CENTER AT ELIZABETH PLACE,1,1,2019
361303,2011,2018,7,0,1,LODI COMMUNITY HOSPITAL,0,0,2019
361305,2011,2013,3,0,0,DOCTORS HOSPITAL OF NELSONVILLE,1,1,2014
362014,2011,2018,8,0,0,,1,1,2019
362021,2011,2016,6,0,0,,1,1,2017
362034,2011,2017,7,0,0,,1,1,2018
362039,2011,2016,6,0,0,,1,1,2017
363032,2011,2014,4,0,0,,1,1,2015
364046,2012,2014,3,0,0,,1,1,2015
370007,2011,2016,6,0,0,NEWMAN MEMORIAL HOSPITAL,1,1,2017
370011,2011,2018,8,0,0,MERCY HOSPITAL EL RENO,1,1,2019
370032,2011,2018,8,0,1,DEACONESS HOSPITAL,0,0,2019
370036,2011,2016,6,0,0,HARMON MEMORIAL HOSPITAL,1,1,2017
370040,2011,2016,6,0,0,EASTERN OKLAHOMA MEDICAL CENTER,1,1,2017
370048,2011,2017,7,0,0,MCCURTAIN MEMORIAL HOSPITAL,1,1,2018
370051,2011,2016,6,0,0,MEMORIAL HOSPITAL & PHYSICIAN GROUP,1,1,2017
370065,2011,2016,6,0,1,CRAIG GENERAL HOSPITAL,0,0,2017
370072,2011,2016,6,0,0,LATIMER COUNTY GENERAL HOSPITAL,1,1,2017
370080,2011,2017,7,0,0,SHARE MEMORIAL HOSPITAL,1,1,2018
370103,2011,2016,6,0,1,"SAYRE MEMORIAL HOSPITAL, INC",0,0,2017
370138,2011,2016,6,0,0,MEMORIAL HOSPITAL OF TEXAS COUNTY,1,1,2017
370156,2011,2018,8,0,0,PAULS VALLEY GENERAL HOSPITAL,1,1,2019
370169,2011,2016,6,0,0,EPIC MEDICAL CENTER,1,1,2017
370233,2011,2017,7,0,0,PINNACLE SPECIALTY HOSPITAL,1,1,2018
371311,2011,2017,7,0,1,JEFFERSON COUNTY HOSPITAL,0,0,2018
371318,2011,2018,8,0,0,FAIRFAX COMMUNITY HOSPITAL,1,1,2019
372011,2011,2017,7,0,0,,1,1,2018
372017,2011,2016,6,0,0,,1,1,2017
372021,2011,2016,6,0,0,,1,1,2017
373026,2011,2016,6,0,0,,1,1,2017
374024,2015,2018,4,0,0,,1,1,2019
390008,2011,2018,8,0,0,ELLWOOD CITY HOSPITAL,1,1,2019
390019,2011,2016,6,0,0,PALMERTON HOSPITAL,1,1,2017
390031,2011,2017,7,0,1,SCHUYLKILL MEDICAL CENTER - EAST NORWEGIAN STREET,0,0,2018
390043,2011,2016,6,0,1,SOLDIERS AND SAILORS MEMORIAL HOSPITAL,0,0,2017
390061,2011,2018,8,0,1,LANCASTER REGIONAL MEDICAL CENTER,0,0,2019
390118,2011,2017,7,0,0,BRADFORD REGIONAL MEDICAL CENTER,1,1,2018
390122,2011,2014,4,0,0,TITUSVILLE HOSPITAL,1,1,2015
390132,2011,2015,5,0,0,ST JOSEPH'S HOSPITAL,1,1,2016
390154,2011,2015,5,0,0,ELK REGIONAL HEALTH CENTER,1,1,2016
390258,2011,2018,8,0,1,ST MARY MEDICAL CENTER,0,0,2019
390263,2011,2017,7,0,0,LEHIGH VALLEY HOSPITAL - MUHLENBERG,1,1,2018
390302,2011,2018,7,0,0,BARIX CLINICS OF PENNSYLVANIA,1,1,2019
390318,2011,2013,3,0,0,WESTFIELD HOSPITAL,1,1,2014
391311,2011,2013,3,0,1,MID-VALLEY HOSPITAL,0,0,2014
392024,2011,2018,8,0,0,,1,1,2019
392034,2011,2013,3,0,0,,1,1,2014
392038,2011,2017,7,0,0,,1,1,2018
392041,2011,2016,6,0,0,,1,1,2017
392042,2011,2014,4,0,0,,1,1,2015
392046,2011,2018,8,0,0,,1,1,2019
392049,2011,2014,4,0,0,,1,1,2015
393308,2011,2018,8,0,0,,1,1,2019
394007,2011,2018,8,0,0,,1,1,2019
394048,2011,2018,8,0,0,,1,1,2019
400009,2011,2015,5,0,0,,1,1,2016
400024,2011,2013,3,0,0,,1,1,2014
400026,2011,2015,5,0,0,,1,1,2016
400121,2011,2014,4,0,0,,1,1,2015
410001,2011,2018,8,0,1,MEMORIAL HOSPITAL OF RHODE ISLAND,0,0,2019
420016,2011,2015,5,0,0,BARNWELL COUNTY HOSPITAL,1,1,2016
420039,2011,2015,5,0,1,WALLACE THOMSON HOSPITAL,0,0,2016
420054,2011,2013,3,0,0,MARLBORO PARK HOSPITAL,1,1,2014
420062,2011,2014,4,0,0,CHESTERFIELD GENERAL HOSPITAL,1,1,2015
420069,2011,2016,6,0,1,CLARENDON MEMORIAL HOSPITAL,0,0,2017
420083,2011,2018,8,0,1,MARY BLACK MEMORIAL HOSPITAL,0,0,2019
424003,2011,2015,5,0,0,,1,1,2016
430081,2011,2017,7,0,0,PHS INDIAN HOSPITAL AT PINE RIDGE,1,1,2018
430092,2011,2015,5,0,0,DAKOTA PLAINS SURGICAL CENTER LLP,1,1,2016
430094,2011,2013,3,0,0,SPEARFISH REGIONAL SURGERY CENTER,1,1,2014
430096,2011,2017,7,0,0,LEWIS AND CLARK SPECIALTY HOSPITAL,1,1,2018
440025,2011,2018,8,0,1,"LAUGHLIN MEMORIAL HOSPITAL, INC",0,0,2019
440047,2011,2013,3,0,0,GIBSON GENERAL HOSPITAL,1,1,2014
440051,2011,2016,6,0,0,MCNAIRY REGIONAL HOSPITAL,1,1,2017
440054,2011,2013,3,0,1,WOODS MEMORIAL HOSPITAL,0,0,2014
440064,2011,2014,4,0,0,GRANDVIEW MEDICAL CENTER,1,1,2015
440067,2011,2018,7,0,0,LAKEWAY REGIONAL HOSPITAL,1,1,2019
440083,2011,2018,8,0,1,JAMESTOWN REGIONAL MEDICAL CENTER,0,0,2019
440115,2011,2013,3,0,0,HUMBOLDT GENERAL HOSPITAL INC,1,1,2014
440141,2011,2014,4,0,0,CUMBERLAND RIVER HOSPITAL,1,1,2015
440147,2014,2016,3,0,0,BAPTIST REHABILITATION GERMANTOWN,1,1,2017
440162,2011,2013,3,0,0,HEALTHSOUTH CHATTANOOGA REHAB HOSPITAL,1,1,2014
440168,2011,2015,5,0,0,METHODIST HEALTHCARE FAYETTE HOSPITAL,1,1,2016
440174,2011,2014,4,0,0,HAYWOOD PARK COMMUNITY HOSPITAL,1,1,2015
440181,2011,2017,7,0,0,BOLIVAR GENERAL HOSPITAL,1,1,2018
440182,2011,2018,8,0,0,MCKENZIE REGIONAL HOSPITAL,1,1,2019
440189,2011,2018,8,0,0,REGIONAL HOSPITAL OF JACKSON,1,1,2019
440232,2013,2018,6,0,0,HOUSTON COUNTY COMMUNITY HOSPITAL,1,1,2019
441304,2011,2018,7,0,1,JOHNSON COUNTY COMMUNITY HOSPITAL,0,0,2019
441308,2011,2015,5,0,0,MEDICAL CENTER OF MANCHESTER,1,1,2016
441315,2011,2016,6,0,0,COPPER BASIN MEDICAL CENTER,1,1,2017
441318,2014,2016,3,0,0,,1,1,2017
441319,2015,2018,4,0,0,CUMBERLAND RIVER HOSPITAL,1,1,2019
442012,2011,2017,7,0,0,,1,1,2018
442013,2011,2015,5,0,0,,1,1,2016
444020,2011,2013,3,0,0,,1,1,2014
450005,2011,2014,4,0,0,MEMORIAL HERMANN BAPTIST ORANGE HOSPITAL,1,1,2015
450037,2011,2017,7,0,0,GOOD SHEPHERD MEDICAL CENTER,1,1,2018
450052,2011,2015,5,0,0,GOODALL WITCHER HOSPITAL,1,1,2016
450073,2011,2015,5,0,0,COGDELL MEMORIAL HOSPITAL,1,1,2016
450177,2011,2015,5,0,0,UVALDE MEMORIAL HOSPITAL,1,1,2016
450178,2011,2017,7,0,0,PECOS COUNTY MEMORIAL HOSPITAL,1,1,2018
450188,2011,2014,4,0,0,ETMC CLARKSVILLE,1,1,2015
450214,2011,2014,4,0,0,GULF COAST MEDICAL CENTER,1,1,2015
450221,2011,2016,6,0,0,MOORE COUNTY HOSPITAL DISTRICT,1,1,2017
450243,2011,2018,8,0,0,HAMLIN MEMORIAL HOSPITAL,1,1,2019
450280,2011,2017,7,0,1,BAYLOR MEDICAL CENTER AT GARLAND,0,0,2018
450293,2011,2017,7,0,0,FRIO REGIONAL HOSPITAL,1,1,2018
450306,2011,2017,7,0,0,STAMFORD MEMORIAL HOSPITAL,1,1,2018
450373,2011,2014,4,0,0,EAST TEXAS MEDICAL CENTER MOUNT VERNON,1,1,2015
450446,2011,2013,3,0,0,RIVERSIDE GENERAL HOSPITAL,1,1,2014
450488,2011,2013,3,0,0,ALLEGIANCE SPECIALTY HOSPITAL OF KILGORE,1,1,2014
450497,2011,2014,4,0,0,BOWIE MEMORIAL HOSPITAL,1,1,2015
450580,2011,2017,7,0,0,EAST TEXAS MEDICAL CENTER CROCKETT,1,1,2018
450591,2011,2014,4,0,0,ANGLETON-DANBURY MEDICAL CENTER,1,1,2015
450620,2011,2017,7,0,0,DIMMIT COUNTY MEMORIAL HOSPITAL,1,1,2018
450658,2011,2018,8,0,1,EAST TEXAS MEDICAL CENTER - FAIRFIELD,0,0,2019
450716,2011,2018,8,0,1,CYPRESS FAIRBANKS MEDICAL CENTER,0,0,2019
450749,2011,2017,7,0,0,EAST TEXAS MEDICAL CENTER TRINITY,1,1,2018
450754,2011,2018,8,0,0,HAMILTON GENERAL HOSPITAL,1,1,2019
450766,2011,2018,8,0,0,UT SOUTHWESTERN UNIVERSITY HOSPITAL-ZALE LIPSHY,1,1,2019
450795,2011,2013,3,0,0,ST ANTHONY'S HOSPITAL,1,1,2014
450796,2011,2015,5,0,0,NORTHWEST TEXAS SURGERY CENTER,1,1,2016
450797,2011,2017,7,0,0,HOUSTON HOSPITAL FOR SPECIALIZED SURGERY,1,1,2018
450832,2011,2014,4,0,1,CHRISTUS ST CATHERINE HOSPITAL,0,0,2015
450845,2011,2018,8,0,0,EL PASO SPECIALTY HOSPITAL,1,1,2019
450884,2011,2014,4,0,0,EAST TEXAS MEDICAL CENTER - GILMER,1,1,2015
450894,2011,2018,8,0,1,PINE CREEK MEDICAL CENTER LLP,0,0,2019
451301,2011,2018,7,0,0,REAGAN MEMORIAL HOSPITAL,1,1,2019
451302,2011,2014,4,0,0,GOOD SHEPHARD MEDICAL CENTER-LINDEN,1,1,2015
451321,2011,2015,5,0,1,HUNT REGIONAL COMMUNITY HOSPITAL,0,0,2016
451326,2011,2018,8,0,0,CHILLICOTHE HOSPITAL DISTRICT,1,1,2019
451357,2011,2018,6,0,0,RICHARDS MEMORIAL HOSPITAL,1,1,2019
452017,2011,2014,4,0,0,,1,1,2015
452027,2011,2013,3,0,0,,1,1,2014
452033,2012,2017,3,0,0,,1,1,2018
452040,2011,2018,8,0,0,,1,1,2019
452043,2011,2017,7,0,0,,1,1,2018
452049,2011,2016,6,0,0,,1,1,2017
452050,2011,2013,3,0,0,,1,1,2014
452054,2011,2017,7,0,0,,1,1,2018
452060,2011,2018,8,0,0,,1,1,2019
452063,2011,2016,6,0,0,,1,1,2017
452066,2011,2017,7,0,0,,1,1,2018
452071,2011,2016,6,0,0,,1,1,2017
452078,2011,2016,6,0,0,,1,1,2017
452082,2011,2017,7,0,0,,1,1,2018
452092,2011,2018,8,0,0,,1,1,2019
452093,2011,2015,5,0,0,,1,1,2016
452099,2011,2016,6,0,0,,1,1,2017
452103,2011,2018,8,0,0,,1,1,2019
452109,2011,2017,6,0,0,,1,1,2018
452113,2011,2015,5,0,0,,1,1,2016
452116,2011,2016,6,0,0,,1,1,2017
452117,2014,2018,5,0,0,,1,1,2019
453038,2011,2014,3,0,0,,1,1,2015
453041,2011,2017,7,0,0,,1,1,2018
453044,2011,2016,6,0,0,,1,1,2017
453094,2011,2016,6,0,0,,1,1,2017
454014,2011,2013,3,0,0,,1,1,2014
454081,2011,2015,5,0,0,,1,1,2016
454098,2011,2016,6,0,0,,1,1,2017
454105,2011,2016,6,0,0,,1,1,2017
454112,2011,2013,3,0,0,,1,1,2014
454113,2011,2017,7,0,0,,1,1,2018
454120,2013,2015,3,0,0,,1,1,2016
454121,2013,2018,6,0,0,,1,1,2019
460033,2011,2016,6,0,0,GARFIELD MEMORIAL HOSPITAL,1,1,2017
460035,2011,2016,6,0,0,BEAVER VALLEY HOSPITAL,1,1,2017
464009,2011,2018,8,0,0,,1,1,2019
464011,2012,2017,6,0,0,,1,1,2018
474004,2015,2017,3,0,0,,1,1,2018
490012,2011,2013,3,0,0,LEE REGIONAL MEDICAL CENTER,1,1,2014
490079,2011,2017,7,0,0,MEMORIAL HOSPITAL OF MARTINSVILLE & HENRY COUNTY,1,1,2018
490106,2011,2013,3,0,0,WESTERN STATE HOSPITAL,1,1,2014
490109,2011,2013,3,0,0,EASTERN STATE HOSPITAL,1,1,2014
490123,2011,2015,5,0,1,RAPPAHANNOCK GENERAL HOSPITAL,0,0,2016
490134,2011,2014,4,0,0,PIEDMONT GERIATRIC HOSPITAL,1,1,2015
490135,2011,2014,4,0,0,CATAWBA HOSPITAL,1,1,2015
491306,2011,2017,7,0,0,"PIONEER HEALTH SERVICES OF PATRICK COUNTY,INC",1,1,2018
494001,2011,2015,5,0,0,ALAMO HOMECARE,1,1,2016
494010,2011,2017,7,0,0,,1,1,2018
500049,2011,2017,7,0,0,WALLA WALLA GENERAL HOSPITAL,1,1,2018
501338,2011,2015,5,0,0,SNOQUALMIE VALLEY HOSPITAL,1,1,2016
504003,2011,2018,8,0,0,,1,1,2019
510053,2011,2014,4,0,0,ST JOSEPH HOSPITAL,1,1,2015
510082,2011,2018,8,0,0,SUMMERSVILLE REGIONAL MEDICAL CENTER,1,1,2019
510085,2011,2014,4,0,0,CAMC TEAYS VALLEY HOSPITAL,1,1,2015
514010,2011,2017,7,0,0,,1,1,2018
520048,2011,2017,7,0,1,MERCY MED CTR OF OSHKOSH,0,0,2018
520195,2011,2017,7,0,0,COLUMBIA CENTER,1,1,2018
520204,2011,2017,7,0,1,"WHEATON FRANCISCAN HEALTHCARE- FRANKLIN, INC",0,0,2018
521328,2011,2018,8,0,1,RUSK COUNTY MEM HSPTL,0,0,2019
522004,2011,2018,8,0,0,AC HOMENURSING SERVICES INC,1,1,2019
530010,2011,2014,4,0,0,LANDER REGIONAL HOSPITAL,1,1,2015
530033,2011,2018,8,0,0,MOUNTAIN VIEW REGIONAL HOSPITAL,1,1,2019
670002,2011,2014,4,0,1,"MAYS HOUSECALL HOME HEALTH, INC",0,0,2015
670012,2011,2015,5,0,1,FOUNDATION SURGICAL HOSPITAL,0,0,2016
670018,2011,2013,3,0,0,DOCTORS DIAGNOSTIC HOSPITAL,1,1,2014
670019,2011,2015,5,0,0,UNIVERSITY GENERAL HOSPITAL,1,1,2016
670021,2011,2013,3,1,1,INNOVA HOSPITAL SAN ANTONIO,0,0,2014
670024,2011,2018,8,0,0,NORTH CYPRESS MEDICAL CENTER,1,1,2019
670029,2011,2014,4,0,0,FIRST STREET HOSPITAL LP,1,1,2015
670050,2011,2015,5,0,1,TRUSTPOINT HOSPITAL,0,0,2016
670052,2011,2013,3,0,0,DOCTORS HOSPITAL,1,1,2014
670058,2012,2018,7,0,0,EMERUS HOSPITAL,1,1,2019
670066,2011,2014,4,0,0,"BASIN HEALTHCARE CENTER, LLC",1,1,2015
670072,2011,2015,5,0,0,"WESTBURY COMMUNITY HOSPITAL, LLC",1,1,2016
670079,2012,2016,5,0,0,"LAKEWAY REGIONAL MEDICAL CENTER, LLC",1,1,2017
670083,2012,2016,4,0,0,TEXAS GENERAL HOSPITAL,1,1,2017
670087,2013,2018,6,0,0,SCOTT & WHITE EMERGENCY HOSPITAL AT CEDAR PARK,1,1,2019
670089,2013,2016,4,0,0,NIX COMMUNITY GENERAL HOSPITAL,1,1,2017
670092,2014,2016,3,0,0,WALNUT HILL MEDICAL CENTER,1,1,2017
670094,2014,2016,3,0,0,LITTLE RIVER HEALTHCARE CAMERON HOSPITAL,1,1,2017
670096,2014,2016,3,0,0,"BAY AREA REGIONAL MEDICAL CENTER, LLC",1,1,2017
673033,2011,2016,6,0,0,,1,1,2017
673047,2011,2014,4,0,0,,1,1,2015
